flow_TankA_tlag_2,flow_TankA_tdiff_6,flow_TankA_tpct_6,flow_TankB_tlag_2,flow_TankB_tdiff_2,flow_TankB_tpct_6,hour_sin,hour_cos,weekday,hour_x_weekday
180.1,-26.44422413793103,-0.12914474805969012,190.245,-10.132499999999993,-0.18129077764062773,0.0,1.0,6,0
180.08125,-35.013750000000016,-0.1707956561770212,188.14249999999998,-8.258749999999992,-0.1819143069917627,0.0,1.0,6,0
178.32000000000002,-31.946249999999992,-0.15588764524688148,180.1125,-0.16749999999998977,-0.18213323940141113,0.25881904510252074,0.9659258262890683,6,6
169.98999999999998,-24.956249999999983,-0.12183215050679486,179.88375,0.020000000000010232,-0.18228355851505074,0.25881904510252074,0.9659258262890683,6,6
172.985,-0.20125000000001592,-0.0011174347584675948,179.94500000000002,0.05999999999997385,-0.053825330494888246,0.49999999999999994,0.8660254037844387,6,12
179.88500000000002,-0.21056034482759856,-0.0011692519061679008,179.90375,0.12081896551723048,-0.043147779127431396,0.49999999999999994,0.8660254037844387,6,12
179.89874999999998,-3.4887500000000102,-0.019564546882009926,180.005,-0.06999999999999318,-0.000985495176625717,0.7071067811865476,0.7071067811865476,6,18
179.8706896551724,0.008750000000020464,5.147361609525447e-05,180.02456896551723,-0.11706896551723389,0.0001320297136344628,0.7071067811865476,0.7071067811865476,6,18
174.83125,-2.9475000000000193,-0.017039049628580605,179.935,0.1912499999999966,0.001007252215954768,0.8660254037844386,0.5000000000000001,6,24
169.99875,-9.845000000000027,-0.05472941045668078,179.9075,0.0724999999999909,0.00042383774657284157,0.8660254037844386,0.5000000000000001,6,24
170.0375,-10.068749999999994,-0.0559689825526859,180.12625,-0.2650000000000148,-0.0007985889280853753,0.9659258262890683,0.25881904510252074,6,30
170.04,-29.638189655172397,-0.16477498202731833,179.98,-23.816249999999968,-0.13254201414079003,0.9659258262890683,0.25881904510252074,6,30
169.82999999999998,-126.89625000000001,-0.7258213277088621,179.86124999999998,-59.89499999999998,-0.33328007335982435,1.0,6.123233995736766e-17,6,36
150.23250000000002,-119.33125,-0.701953690835962,156.16375000000002,-36.09500000000003,-0.332608423773328,1.0,6.123233995736766e-17,6,36
47.934999999999995,-49.78,-0.2927589502315666,119.96625,-0.05499999999999261,-0.3342933081658003,0.9659258262890683,-0.25881904510252063,6,42
50.667500000000004,-49.02491379310344,-0.2883140072518433,120.06875,0.9954741379310406,-0.3273462377045725,0.9659258262890683,-0.25881904510252063,6,42
120.2575,-19.863749999999982,-0.11696255078608009,119.91125000000001,30.103749999999977,-0.16594041240122592,0.8660254037844387,-0.4999999999999998,6,48
121.01508620689656,-0.05125000000001023,-0.00034113790291723234,121.06422413793103,29.028275862068966,-0.03887746035811779,0.8660254037844387,-0.4999999999999998,6,48
149.96625,167.26749999999998,3.489464900385939,150.015,65.16625000000002,0.7936815562710346,0.7071067811865476,-0.7071067811865475,6,54
150.18125,169.46875,3.344722948635713,150.0925,70.1175,0.834032585497892,0.7071067811865476,-0.7071067811865475,6,54
215.2025,99.76750000000001,0.8296156164896162,215.18125,4.9375,0.8356805554107725,0.49999999999999994,-0.8660254037844387,6,60
220.13625,99.13965517241378,0.8192338515787785,220.21,-0.07724137931035102,0.8183138758638369,0.49999999999999994,-0.8660254037844387,6,60
220.025,70.18719827586207,0.4680199596633381,220.11875,-0.15280172413793025,0.466293025869827,0.258819045102521,-0.9659258262890682,6,66
220.15474137931034,69.76749999999998,0.4645553289774853,220.13275862068966,-0.06900862068965807,0.46618751769741995,0.258819045102521,-0.9659258262890682,6,66
220.15344827586208,4.703750000000014,0.021857320430757055,219.96594827586208,0.030301724137927977,0.022376484940021424,1.2246467991473532e-16,-1.0,6,72
219.94875,-0.05392241379308871,-0.000244950178778347,220.06375,0.041853448275873006,-0.00047407725227799347,1.2246467991473532e-16,-1.0,6,72
219.90625,0.08750000000000568,0.00039768208158164065,219.99625,0.03874999999999318,-0.0003804764473721578,-0.2588190451025208,-0.9659258262890683,6,78
220.0823275862069,-0.1059913793103533,-0.0004814403662001254,220.10560344827587,-0.4718534482758798,-0.0022668530745553195,-0.2588190451025208,-0.9659258262890683,6,78
220.1125,-0.10719827586208908,-0.0004869252637268451,220.035,130.7175,0.5945763548825151,-0.4999999999999997,-0.8660254037844388,6,84
