SS_VU_tlag_2,SS_VU_troll_mean_12,SS_VU_tdiff_2,SS_VU_tewma_6,SS_VU_tewma_12,SS_VU_tewma_24,doy_sin,doy_cos
0.6,0.6,0.0,0.600000015165175,0.600045537604995,0.602684707872856,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000108322678,0.6000385318196112,0.6024699312430276,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000077373342,0.6000326038473633,0.6022723367435855,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000055266672,0.6000275878708459,0.6020905498040987,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000039476194,0.6000233435830234,0.6019233058197708,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000028197281,0.6000197522625583,0.6017694413541892,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000020140914,0.600016713452934,0.6016278860458542,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000014386367,0.6000141421524826,0.6014976551621859,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000010275977,0.6000119664367161,0.6013778427492111,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000007339983,0.600010125446452,0.6012676153292743,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000005242845,0.6000085676854594,0.6011662061029325,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000003744889,0.6000072495800041,0.601072909614698,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.600000000267492,0.6000061342600035,0.6009870768455222,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000001910657,0.6000051905276953,0.6009081106978805,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000001364755,0.6000043919849729,0.6008354618420502,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000974824,0.6000037162949771,0.6007686248946862,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000696303,0.6000031445572883,0.6007071349031113,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000497359,0.6000026607792439,0.6006505641108625,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000355256,0.600002251428591,0.6005985189819936,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000253753,0.6000019050549616,0.6005506374634342,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000181253,0.6000016119695829,0.6005065864663595,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000129466,0.6000013639742624,0.6004660595490507,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000092476,0.6000011541320682,0.6004287747851268,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000066054,0.6000009765732885,0.6003944728023167,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000047181,0.6000008263312442,0.6003629149781314,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000033701,0.6000006992033604,0.600333881779881,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000024072,0.6000005916336126,0.6003071712374906,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000017194,0.6000005006130569,0.6002825975384913,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000012281,0.6000004235956635,0.6002599897354121,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000008772,0.6000003584270999,0.6002391905565791,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000006265,0.6000003032844691,0.6002200553120529,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000004475,0.60000025662532,0.6002024508870888,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000003196,0.6000002171445015,0.6001862548161218,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000002282,0.6000001837376551,0.600171354430832,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.600000000000163,0.6000001554703235,0.6001576460763656,-0.9987235240803972,-0.050510617185222886
0.6,0.6,0.0,0.6000000000001163,0.6000001315518122,0.6001450343902563,-0.9987235240803972,-0.050510617185222886
