TN_VU_tlag_2,TN_VU_tdiff_2
9.334,-0.1609999999999996
9.226666666666667,-0.22236666666666594
9.173,-0.24099999999999966
9.0043,-0.43629999999999924
8.932,-0.5199999999999996
8.568000000000001,-0.36600000000000144
8.412,-0.3000000000000007
8.202,-0.04449999999999932
8.112,0.0649999999999995
8.1575,0.18349999999999866
8.177,0.24600000000000044
8.341,0.32200000000000095
8.423,0.35999999999999943
8.663,0.3160000000000007
8.783,0.2940000000000005
8.979000000000001,0.4426666666666641
9.077,0.5169999999999995
9.421666666666665,0.4070000000000018
9.594,0.3520000000000003
9.828666666666667,0.13533333333333353
9.946,0.027000000000001023
9.964,0.3390000000000004
9.973,0.4949999999999992
10.303,1.2110000000000003
10.468,1.5690000000000008
11.514000000000001,1.5356666666666658
12.037,1.5189999999999984
13.049666666666667,0.8836666666666666
13.556,0.565999999999999
13.933333333333334,0.16333333333333222
14.121999999999998,-0.03799999999999848
14.096666666666666,-0.5746666666666673
14.084,-0.8429999999999982
13.521999999999998,-0.8669999999999991
13.241000000000001,-0.8790000000000013
12.655,-0.9269999999999996
12.362,-0.9510000000000005
11.728,-0.8049999999999997
11.411,-0.7319999999999993
10.923,-0.4200000000000017
10.679,-0.2640000000000011
10.502999999999998,-0.5319999999999983
10.415,-0.6659999999999986
9.971,-0.677999999999999
9.749,-0.684000000000001
9.293000000000001,-0.4853333333333332
9.065,-0.38599999999999923
8.807666666666668,-0.22466666666666768
